# Changed things around to work on a energy/primary/secondary cost system rather than just food since new space fauna
# us other resources like minerals/alloys. Energy cost is typically 33% of based primary cost the growth amount is later multiplied
# with the cost modifiers to get something around vanilla cost for that amount of ships. Hopefully easier to maintain now. - PIECAT

################################################
################### LEVIATHANS #################
################################################
# Ether Drake
@grow_ether_drake_energy_cost	        	= 7500
@grow_ether_drake_primary_cost		        = 18000
@grow_ether_drake_secondary_cost            = 0
@grow_ether_drake_growth_time 	        	= 2160 # Base: 1080, multiplied by 2 for primary vat stuff
@grow_ether_drake_growth_count 	        	= 1 #Drake
@giga_vat_ether_drake_primary_resource      = food
@giga_vat_ether_drake_secondary_resource    = none

# Wraith
@grow_wraith_energy_cost	            	= 25000
@grow_wraith_primary_cost		            = 5000
@grow_wraith_secondary_cost                 = 0
@grow_wraith_growth_time 	            	= 2160 # Base: 1080, multiplied by 2 for primary vat stuff
@grow_wraith_growth_count 	            	= 1	#wraith
@giga_vat_wraith_primary_resource           = food
@giga_vat_wraith_secondary_resource         = none

# Tiyanki Matriarch
@grow_tiyanki_matriarch_energy_cost		    = 3000
@grow_tiyanki_matriarch_primary_cost		= 12500
@grow_tiyanki_matriarch_secondary_cost      = 0
@grow_tiyanki_matriarch_growth_time 		= 1440 # Base: 720, multiplied by 2 for primary vat stuff
@grow_tiyanki_matriarch_growth_count 		= 1 #Matriarch
@giga_vat_tiyanki_matriarch_primary_resource= food
@giga_vat_tiyanki_matriarch_secondary_resource= none

# Stellarite Devourer
@grow_stellarite_devourer_energy_cost		= 37500
@grow_stellarite_devourer_primary_cost		= 12500
@grow_stellarite_devourer_secondary_cost    = 0
@grow_stellarite_devourer_growth_time 		= 3600 # Base: 1800, multiplied by 2 for primary vat stuff
@grow_stellarite_devourer_growth_count 		= 1 #Stellarite
@giga_vat_stellarite_devourer_primary_resource       = food
@giga_vat_stellarite_devourer_secondary_resource     = none

# Voidspawn
@grow_voidspawn_energy_cost		            = 5000
@grow_voidspawn_primary_cost		        = 15000
@grow_voidspawn_secondary_cost              = 0
@grow_voidspawn_growth_time 	        	= 1440 # Base: 720, multiplied by 2 for primary vat stuff
@grow_voidspawn_growth_count 	        	= 1 #Voidspawn
@giga_vat_voidspawn_primary_resource        = food
@giga_vat_voidspawn_secondary_resource      = none

# Toxic God
@grow_toxic_god_energy_cost		            = 14500
@grow_toxic_god_primary_cost		        = 25000
